name,type,contract,tier,cores,pcores,mem,region,price,ACU,SSD,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded,OfferName,_id,price_USD,price_EUR,price_GBP,price_AUD,price_JPY,price_CAD,price_DKK,price_CHF,price_SEK,price_IDR,price_INR,burstable
a0,vm,payg,standard,1,1,0.75,usgov-texas,0.018,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-usgov-texas-payg,0.018,0.0151794,0.013415561999999999,0.0229266,1.8359999999999999,0.021886199999999998,0.1132812,0.016255799999999997,0.1416816,245.88,1.1897324999999999,No
a0,vm,payg,standard,1,1,0.75,usgov-virginia,0.018,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-usgov-virginia-payg,0.018,0.0151794,0.013415561999999999,0.0229266,1.8359999999999999,0.021886199999999998,0.1132812,0.016255799999999997,0.1416816,245.88,1.1897324999999999,No
a0,vm,payg,standard,1,1,0.75,us-north-central,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-north-central-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,us-south-central,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-south-central-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,us-west,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-west-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,us-west-2,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-west-2-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,us-west-central,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-west-central-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,west-india,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-west-india-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a1,vm,payg,standard,1,1,1.75,asia-pacific-east,0.06,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-asia-pacific-east-payg,0.06,0.050598000000000004,0.04471854,0.076422,6.12,0.07295399999999999,0.377604,0.054186,0.47227199999999997,819.6,3.965775,No
a1,vm,payg,standard,1,1,1.75,asia-pacific-southeast,0.06,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-asia-pacific-southeast-payg,0.06,0.050598000000000004,0.04471854,0.076422,6.12,0.07295399999999999,0.377604,0.054186,0.47227199999999997,819.6,3.965775,No
